Date,^BVSP,SPY,IEF,BRL=X,EURUSD=X,JPY=X,GLD,DBC
2003-11-19,18807.00,69.00792,45.15201,,,109.1100,,
2003-11-20,19199.00,68.38847,45.43404,,,109.0000,,
2003-11-21,19248.00,68.67181,45.41274,,,108.7500,,
2003-11-24,19691.00,69.58122,45.17331,,,109.3800,,
2003-11-25,19810.00,69.84484,45.28503,,,109.4000,,
2003-11-26,19695.00,70.09521,45.17331,,,109.0500,,
2003-11-27,19961.00,,,,,109.2800,,
2003-11-28,20184.00,70.14791,44.87533,,,109.6200,,
2003-12-01,20521.00,70.90575,44.60114,2.923000,1.196501,109.1700,,
2003-12-02,20458.00,70.72781,44.72917,2.931000,1.208897,108.7300,,
2003-12-03,20540.00,70.61578,44.61183,2.931000,1.212298,108.3000,,
2003-12-04,20414.00,70.90575,44.70781,2.943000,1.208094,108.2700,,
2003-12-05,20880.00,70.41151,45.25199,2.934000,1.218695,107.6200,,
2003-12-08,20889.00,70.88603,45.08128,2.940000,1.222001,107.4100,,
2003-12-09,21260.00,70.33907,44.85720,2.933000,1.224995,107.0900,,
2003-12-10,20973.00,70.33243,44.96925,2.942000,1.219096,108.3800,,
2003-12-11,21296.00,71.12320,45.24132,2.936000,1.222404,107.9800,,
2003-12-12,20974.00,71.26157,45.24132,2.935000,1.227898,107.6800,,
2003-12-15,20710.00,70.90575,45.21999,2.919000,1.231997,107.7400,,
2003-12-16,20760.00,71.27478,45.76423,2.936000,1.232195,107.5100,,
2003-12-17,21199.00,71.49883,45.88274,2.930000,1.240202,107.3800,,
2003-12-18,21489.00,72.30279,46.03904,2.932000,1.242298,107.6500,,
2003-12-19,21386.00,72.10149,46.04446,2.923000,1.238497,107.7100,,
2003-12-22,21630.00,72.60468,45.92052,2.919000,1.239895,107.4900,,
2003-12-23,21688.00,72.65103,45.60798,2.907000,1.240003,107.4300,,
2003-12-24,,72.57823,45.89360,2.907000,1.245299,107.2600,,
2003-12-25,,,,2.907000,1.244803,107.2400,,
2003-12-26,21807.00,72.63120,46.03904,2.901000,1.243194,107.4500,,
2003-12-29,22045.00,73.59784,45.75883,2.860000,1.248393,107.0500,,
2003-12-30,22236.00,73.61105,45.71033,2.901000,1.254894,106.9600,,
2003-12-31,,73.67726,45.79090,2.901000,1.259002,107.4000,,
2004-01-01,,,,2.901000,1.258194,107.3000,,
2004-01-02,22445.00,73.64419,45.42325,2.876000,1.258194,106.9100,,
2004-01-05,23532.00,74.44530,45.38544,2.853000,1.268698,106.2400,,
2004-01-06,23576.00,74.51814,45.72600,2.866000,1.272103,106.2300,,
2004-01-07,23320.00,74.76971,45.82874,2.858000,1.264095,106.1800,,
2004-01-08,23717.00,75.06766,45.82874,2.854000,1.277498,106.1700,,
2004-01-09,23917.00,74.41219,46.36936,2.830000,1.285892,106.5800,,
2004-01-12,24237.00,74.96175,46.36936,2.790000,1.274096,106.6000,,
2004-01-13,23940.00,74.52477,46.61806,2.805000,1.278593,106.2400,,
2004-01-14,23399.00,75.14708,46.70993,2.818000,1.265102,106.2400,,
2004-01-15,22962.00,75.33247,46.73701,2.813000,1.260097,106.2700,,
2004-01-16,23155.00,75.63043,46.54234,2.827000,1.239803,106.7500,,
2004-01-19,23385.00,,,2.838000,1.235407,107.2300,,
2004-01-20,23679.00,75.61057,46.46125,2.838000,1.258907,107.0000,,
2004-01-21,23302.00,76.20642,46.59641,2.843000,1.265903,106.8100,,
2004-01-22,22969.00,76.00783,46.79647,2.828000,1.272508,106.1300,,
2004-01-23,23471.00,75.76284,46.44503,2.840000,1.258305,106.7500,,
2004-01-26,24350.00,76.71627,46.25043,2.844000,1.248798,106.3500,,
2004-01-27,24226.00,75.92840,46.43420,2.868000,1.263695,105.6300,,
2004-01-28,23852.00,75.06104,46.09904,2.894000,1.244199,106.1300,,
2004-01-29,22386.00,75.13387,46.04503,2.930000,1.241003,105.9100,,
2004-01-30,21851.00,75.13387,46.25585,2.932000,1.246805,105.7200,,
2004-02-02,21787.00,75.45829,46.20977,2.941000,1.243302,105.5200,,
2004-02-03,22281.00,75.33247,46.38868,2.916000,1.253494,105.4700,,
2004-02-04,21685.00,74.71675,46.31280,2.918000,1.253997,105.4500,,
2004-02-05,21092.00,74.93525,46.13929,2.930000,1.257197,105.6400,,
2004-02-06,21969.00,75.77608,46.42122,2.932000,1.270002,105.4500,,
2004-02-09,21962.00,75.79597,46.52966,2.924000,1.269406,105.8200,,
2004-02-10,22171.00,76.04090,46.39952,2.918000,1.268504,105.5800,,
2004-02-11,23197.00,76.84866,46.64358,2.905000,1.283005,105.3400,,
2004-02-12,23063.00,76.57059,46.61645,2.895000,1.281805,105.3000,,
2004-02-13,22530.00,76.22631,46.73570,2.904000,1.272799,105.2000,,
2004-02-16,22189.00,,,2.906000,1.276503,105.4500,,
2004-02-17,22426.00,76.91490,46.73570,2.916000,1.285793,105.6100,,
2004-02-18,22000.00,76.57723,46.72486,2.940000,1.272508,106.3400,,
2004-02-19,20951.00,76.29252,46.75742,2.957000,1.275705,106.9100,,
2004-02-20,21337.00,76.06078,46.60013,2.957000,1.254202,108.9500,,
2004-02-23,,75.86880,46.75200,2.957000,1.257197,108.3000,,
2004-02-24,,75.73639,46.83332,2.957000,1.267797,108.2000,,
2004-02-25,21609.00,76.05418,46.88753,2.939000,1.249703,108.9700,,
2004-02-26,21450.00,76.10051,46.81706,2.930000,1.244803,109.4800,,
2004-02-27,21755.00,76.15346,47.00143,2.905000,1.249407,109.2500,,
2004-03-01,22499.00,76.90828,47.05091,2.893000,1.244803,108.9100,,
2004-03-02,22442.00,76.45801,46.77902,2.890000,1.220405,110.1500,,
2004-03-03,22550.00,76.59710,46.73549,2.887000,1.219096,110.1100,,
2004-03-04,22393.00,76.79570,46.88233,2.888000,1.220703,111.2500,,
2004-03-05,22873.00,77.05392,47.46419,2.866000,1.236797,112.0000,,
2004-03-08,22993.00,76.11376,47.73065,2.873000,1.242607,111.2900,,
2004-03-09,22674.00,75.80919,47.91011,2.879000,1.231906,111.4600,,
2004-03-10,21670.00,74.53800,47.90468,2.900000,1.223197,110.8900,,
2004-03-11,20763.00,73.57130,47.91011,2.907000,1.235102,110.8300,,
2004-03-12,21776.00,74.53800,47.76326,2.899000,1.222404,110.6500,,
2004-03-15,21234.00,73.62432,47.79049,2.903000,1.227205,110.3100,,
2004-03-16,21613.00,74.01492,48.02433,2.897000,1.226106,108.7100,,
2004-03-17,21901.00,74.84257,47.99171,2.910000,1.222703,108.2600,,
2004-03-18,22370.00,74.86243,47.83942,2.906000,1.238896,106.7900,,
2004-03-19,22261.00,73.78940,47.77420,2.900000,1.226904,106.6600,,
2004-03-22,21663.00,72.85258,47.95366,2.911000,1.234598,106.7600,,
2004-03-23,21205.00,72.72629,48.02433,2.913000,1.234507,106.7600,,
2004-03-24,20985.00,72.78613,47.99171,2.928000,1.213902,106.4000,,
2004-03-25,21000.00,73.74951,47.92646,2.935000,1.213695,106.1300,,
2004-03-26,21541.00,73.76949,47.62191,2.937000,1.212695,106.1800,,
2004-03-28,,,,2.938000,1.216604,105.4600,,
2004-03-29,21531.00,74.80590,47.42070,2.907000,1.218502,105.8400,,
2004-03-30,22043.00,75.05843,47.43702,2.895000,1.231300,104.2100,,
2004-03-31,22142.00,75.14478,47.61101,2.889000,1.236507,103.7400,,
2004-04-01,22647.00,75.59657,47.49430,2.893000,1.212900,104.6100,,
2004-04-02,22949.00,76.16797,46.61622,,,,,
2004-04-04,,,,2.875000,1.201302,105.0900,,
2004-04-05,23146.00,76.58655,46.38710,2.874000,1.213106,105.7600,,
2004-04-06,23072.00,76.34071,46.55076,2.870000,1.216604,105.2200,,
2004-04-07,22443.00,76.16134,46.55623,2.884000,1.207700,106.4200,,
